Dimension,Entropy,Cinternal,Cexternal
38.0,0.99746335,0.4,0.01
31.0,0.9978596,0.45,0.1
58.0,0.9979657,0.45,0.05
55.0,0.9963476,0.45,0.01
40.0,0.9970926,0.3,0.1
27.0,0.998261,0.3,0.05
30.0,0.99823946,0.3,0.01
42.0,0.9978977,0.35,0.1
37.0,0.9974596,0.35,0.05
31.0,0.9978005,0.35,0.01
57.0,0.997459,0.4,0.1
46.0,0.99676245,0.4,0.05
39.0,0.9976517,0.4,0.01
30.0,0.9977087,0.45,0.1
29.0,0.9978467,0.45,0.05
49.0,0.9969922,0.45,0.01
46.0,0.99759626,0.3,0.1
34.0,0.9979202,0.3,0.05
33.0,0.99829483,0.3,0.01
44.0,0.99711263,0.35,0.1
46.0,0.99697906,0.35,0.05
42.0,0.9976013,0.35,0.01
58.0,0.99684507,0.4,0.1
48.0,0.9966464,0.4,0.05
49.0,0.9974972,0.4,0.01
69.0,0.9982716,0.45,0.1
52.0,0.99745476,0.45,0.05
54.0,0.9975109,0.45,0.01
37.0,0.99794173,0.3,0.1
31.0,0.99734885,0.3,0.05
25.0,0.9984044,0.3,0.01
49.0,0.9974165,0.35,0.1
38.0,0.9982746,0.35,0.05
34.0,0.99791217,0.35,0.01
52.0,0.9973644,0.4,0.1
48.0,0.9973258,0.4,0.05
44.0,0.9976198,0.4,0.01
60.0,0.99776626,0.45,0.1
59.0,0.99797124,0.45,0.05
49.0,0.9977143,0.45,0.01
46.0,0.99709916,0.3,0.1
42.0,0.9979547,0.3,0.05
31.0,0.9984717,0.3,0.01
50.0,0.99761415,0.35,0.1
36.0,0.9977177,0.35,0.05
39.0,0.99760556,0.35,0.01
61.0,0.99822617,0.4,0.1
37.0,0.9976846,0.4,0.05
38.0,0.99800986,0.4,0.01
65.0,0.9966669,0.45,0.1
60.0,0.99788487,0.45,0.05
55.0,0.9976535,0.45,0.01
35.0,0.9980145,0.3,0.1
27.0,0.99819225,0.3,0.05
32.0,0.99835277,0.3,0.01
60.0,0.996831,0.35,0.1
44.0,0.9981328,0.35,0.05
42.0,0.99736315,0.35,0.01
58.0,0.9968534,0.4,0.1
51.0,0.99601924,0.4,0.05
42.0,0.99804175,0.4,0.01
57.0,0.9962644,0.45,0.1
47.0,0.9971449,0.45,0.05
47.0,0.99754685,0.45,0.01
33.0,0.9974591,0.3,0.1
37.0,0.99771667,0.3,0.05
33.0,0.9985138,0.3,0.01
