Dimension,Entropy,Predominance,Cint
57.0,0.9981323,0.5,0.4
54.0,0.99679047,0.8,0.4
54.0,0.9972272,0.9,0.4
18.0,0.99546385,0.99,0.4
54.0,0.9971287,0.5,0.45
57.0,0.9976928,0.8,0.45
58.0,0.99596995,0.9,0.45
33.0,0.9947076,0.99,0.45
30.0,0.996566,0.5,0.3
51.0,0.9968875,0.8,0.3
49.0,0.9971594,0.9,0.3
8.0,0.9963851,0.99,0.3
42.0,0.99680465,0.5,0.35
52.0,0.99756056,0.8,0.35
49.0,0.996786,0.9,0.35
24.0,0.99559504,0.99,0.35
44.0,0.9968675,0.5,0.4
56.0,0.9979736,0.8,0.4
42.0,0.9967443,0.9,0.4
52.0,0.9953119,0.99,0.4
58.0,0.9983474,0.5,0.45
48.0,0.99707586,0.8,0.45
63.0,0.99810857,0.9,0.45
35.0,0.99537015,0.99,0.45
36.0,0.99796855,0.5,0.3
42.0,0.998269,0.8,0.3
43.0,0.99720204,0.9,0.3
19.0,0.9954373,0.99,0.3
49.0,0.99743783,0.5,0.35
47.0,0.9969526,0.8,0.35
50.0,0.996275,0.9,0.35
41.0,0.9959268,0.99,0.35
55.0,0.9971765,0.5,0.4
58.0,0.99665016,0.8,0.4
52.0,0.9972533,0.9,0.4
13.0,0.99571294,0.99,0.4
56.0,0.9970857,0.5,0.45
57.0,0.9977842,0.8,0.45
57.0,0.997549,0.9,0.45
25.0,0.99574935,0.99,0.45
34.0,0.9980491,0.5,0.3
41.0,0.99703676,0.8,0.3
39.0,0.99786055,0.9,0.3
36.0,0.99611056,0.99,0.3
40.0,0.9970101,0.5,0.35
55.0,0.9974622,0.8,0.35
53.0,0.99681306,0.9,0.35
13.0,0.9958605,0.99,0.35
43.0,0.99792534,0.5,0.4
54.0,0.9969748,0.8,0.4
50.0,0.9971271,0.9,0.4
14.0,0.9957573,0.99,0.4
57.0,0.9959653,0.5,0.45
53.0,0.99704736,0.8,0.45
59.0,0.997839,0.9,0.45
20.0,0.99479216,0.99,0.45
30.0,0.9985581,0.5,0.3
38.0,0.99830925,0.8,0.3
44.0,0.996833,0.9,0.3
37.0,0.99560744,0.99,0.3
42.0,0.99740744,0.5,0.35
39.0,0.9977531,0.8,0.35
43.0,0.9963933,0.9,0.35
18.0,0.99568236,0.99,0.35
54.0,0.9970248,0.5,0.4
57.0,0.9969819,0.8,0.4
61.0,0.9979166,0.9,0.4
10.0,0.9951359,0.99,0.4
46.0,0.99626946,0.5,0.45
67.0,0.9979696,0.8,0.45
62.0,0.9979624,0.9,0.45
47.0,0.99588466,0.99,0.45
30.0,0.99800867,0.5,0.3
46.0,0.99781364,0.8,0.3
